umap1,umap2,cat
13.733626,-6.485846,Alaskan ultramafic
13.743802,-6.49555,Alaskan ultramafic
13.75172,-6.4929633,Alaskan ultramafic
13.7558365,-6.595428,Alaskan ultramafic
13.738774,-6.549291,Alaskan ultramafic
13.751323,-6.530798,Alaskan ultramafic
13.751189,-6.503266,Alaskan ultramafic
11.65229,-5.8149114,Alaskan ultramafic
13.755649,-6.5427766,Alaskan ultramafic
13.7822275,-6.5875845,Alaskan ultramafic
13.754259,-6.6273284,Alaskan ultramafic
13.494278,-5.9272075,Alaskan ultramafic
13.478381,-5.9061813,Alaskan ultramafic
13.549113,-5.9387355,Alaskan ultramafic
13.465087,-5.8894997,Alaskan ultramafic
13.412918,-5.9101906,Alaskan ultramafic
13.42296,-5.857535,Alaskan ultramafic
13.495079,-5.9284897,Alaskan ultramafic
13.495007,-5.938163,Alaskan ultramafic
13.511593,-5.9517612,Alaskan ultramafic
13.492154,-5.931478,Alaskan ultramafic
13.509557,-5.912897,Alaskan ultramafic
13.475026,-5.8999143,Alaskan ultramafic
13.513931,-5.9711084,Alaskan ultramafic
13.518168,-5.9821177,Alaskan ultramafic
13.43976,-5.8961854,Alaskan ultramafic
13.479354,-5.8941126,Alaskan ultramafic
13.468606,-5.8937902,Alaskan ultramafic
13.39069,-5.8215666,Alaskan ultramafic
13.373628,-5.8002434,Alaskan ultramafic
13.377021,-5.816548,Alaskan ultramafic
13.325956,-5.9180903,Alaskan ultramafic
13.463064,-5.9036903,Alaskan ultramafic
13.446167,-5.8862147,Alaskan ultramafic
13.498436,-5.941584,Alaskan ultramafic
13.511955,-5.9328585,Alaskan ultramafic
11.607758,-5.777983,Alaskan ultramafic
13.469527,-5.9030604,Alaskan ultramafic
13.484218,-5.926979,Alaskan ultramafic
13.390865,-5.8593903,Alaskan ultramafic
13.449627,-5.889303,Alaskan ultramafic
13.399187,-5.8205357,Alaskan ultramafic
13.418686,-5.85735,Alaskan ultramafic
13.488906,-5.9257283,Alaskan ultramafic
13.473072,-5.888758,Alaskan ultramafic
13.472199,-5.8717637,Alaskan ultramafic
13.576069,-6.003001,Alaskan ultramafic
13.438191,-5.8837376,Alaskan ultramafic
13.308319,-5.8470807,Alaskan ultramafic
13.39683,-5.831162,Alaskan ultramafic
13.399833,-5.871502,Alaskan ultramafic
13.41119,-5.9011655,Alaskan ultramafic
13.479605,-5.978387,Alaskan ultramafic
13.454942,-5.905368,Alaskan ultramafic
13.444636,-5.884932,Alaskan ultramafic
13.488673,-5.9200697,Alaskan ultramafic
13.42407,-5.9304404,Alaskan ultramafic
13.4944105,-5.92789,Alaskan ultramafic
13.474254,-5.9030704,Alaskan ultramafic
13.503583,-5.925453,Alaskan ultramafic
13.470336,-5.898387,Alaskan ultramafic
13.434235,-5.8728433,Alaskan ultramafic
13.4504385,-5.8599777,Alaskan ultramafic
13.489415,-5.921849,Alaskan ultramafic
13.473264,-5.905786,Alaskan ultramafic
13.480639,-5.908763,Alaskan ultramafic
13.384675,-5.8832874,Alaskan ultramafic
13.424798,-5.8757205,Alaskan ultramafic
12.966788,-5.889164,Alaskan ultramafic
13.456883,-5.8992815,Alaskan ultramafic
13.406552,-5.8586397,Alaskan ultramafic
13.409695,-5.856177,Alaskan ultramafic
13.443929,-5.878609,Alaskan ultramafic
13.4490185,-5.832917,Alaskan ultramafic
12.841289,-5.8788366,Alaskan ultramafic
13.43546,-5.842641,Alaskan ultramafic
13.449283,-5.791762,Alaskan ultramafic
13.444301,-5.8562727,Alaskan ultramafic
13.424629,-5.8528166,Alaskan ultramafic
13.425319,-5.846949,Alaskan ultramafic
13.383996,-5.799094,Alaskan ultramafic
13.411795,-5.839271,Alaskan ultramafic
13.3755455,-5.8474617,Alaskan ultramafic
13.368749,-5.8163085,Alaskan ultramafic
13.435115,-5.863278,Alaskan ultramafic
13.47475,-5.913284,Alaskan ultramafic
13.049407,-5.8659225,Alaskan ultramafic
13.426067,-5.869101,Alaskan ultramafic
13.297142,-5.901228,Alaskan ultramafic
13.390111,-5.8357153,Alaskan ultramafic
12.9773445,-5.8851185,Alaskan ultramafic
13.358813,-5.857925,Alaskan ultramafic
13.447101,-5.88443,Alaskan ultramafic
13.468065,-5.8901815,Alaskan ultramafic
13.528612,-5.977294,Alaskan ultramafic
13.435228,-5.8714314,Alaskan ultramafic
13.3700485,-5.859424,Alaskan ultramafic
13.440478,-5.8840013,Alaskan ultramafic
13.454469,-5.8937254,Alaskan ultramafic
11.4714985,-5.213582,Alaskan ultramafic
11.486814,-5.2181306,Alaskan ultramafic
12.256262,-5.8400474,Alaskan ultramafic
12.30352,-5.841706,Alaskan ultramafic
12.292408,-5.8557773,Alaskan ultramafic
11.677833,-5.371028,Alaskan ultramafic
11.654998,-5.323912,Alaskan ultramafic
11.62765,-5.305539,Alaskan ultramafic
11.65336,-5.504565,Alaskan ultramafic
