umap1,umap2,cat
7.136706,-5.708212,Alaskan ultramafic
7.1779866,-5.7520714,Alaskan ultramafic
7.196681,-5.760072,Alaskan ultramafic
7.1958284,-5.7637773,Alaskan ultramafic
7.172966,-5.7524195,Alaskan ultramafic
6.8313084,-5.414124,Alaskan ultramafic
6.849548,-5.434838,Alaskan ultramafic
6.8502316,-5.4309053,Alaskan ultramafic
6.891412,-5.472724,Alaskan ultramafic
6.817259,-5.3999014,Alaskan ultramafic
6.736936,-5.3290253,Alaskan ultramafic
6.7837276,-5.353594,Alaskan ultramafic
6.783261,-5.375028,Alaskan ultramafic
6.790064,-5.3722115,Alaskan ultramafic
-0.120860465,13.324421,Alaskan ultramafic
6.767337,-5.3581944,Alaskan ultramafic
6.7595854,-5.3524723,Alaskan ultramafic
6.7639384,-5.344367,Alaskan ultramafic
7.220418,-5.803661,Alaskan ultramafic
7.1918683,-5.774654,Alaskan ultramafic
7.258985,-5.8207655,Alaskan ultramafic
7.181442,-5.763805,Alaskan ultramafic
7.190556,-5.7799535,Alaskan ultramafic
7.2141724,-5.8130755,Alaskan ultramafic
7.200272,-5.746658,Alaskan ultramafic
7.1700735,-5.7544365,Alaskan ultramafic
7.1675744,-5.748545,Alaskan ultramafic
7.1280556,-5.709252,Alaskan ultramafic
7.16293,-5.744716,Alaskan ultramafic
7.2777057,-5.753918,Alaskan ultramafic
7.1378937,-5.7140117,Alaskan ultramafic
7.0849867,-5.6655574,Alaskan ultramafic
7.1047597,-5.6795616,Alaskan ultramafic
7.182784,-5.7588267,Alaskan ultramafic
7.2074785,-5.794609,Alaskan ultramafic
7.1825943,-5.7778783,Alaskan ultramafic
7.1746244,-5.7752156,Alaskan ultramafic
7.232092,-5.825922,Alaskan ultramafic
7.265512,-5.8742685,Alaskan ultramafic
7.235552,-5.8236623,Alaskan ultramafic
7.248557,-5.8380904,Alaskan ultramafic
7.214822,-5.795822,Alaskan ultramafic
7.219459,-5.812819,Alaskan ultramafic
-0.1156794,13.32021,Alaskan ultramafic
7.2377276,-5.8252087,Alaskan ultramafic
7.2923064,-5.8070383,Alaskan ultramafic
7.249648,-5.8362117,Alaskan ultramafic
7.228327,-5.8222537,Alaskan ultramafic
7.2764745,-5.86639,Alaskan ultramafic
7.2401533,-5.8164573,Alaskan ultramafic
7.1988983,-5.787496,Alaskan ultramafic
