umap1,umap2,cat
-2.7773983,21.002674,Alaskan ultramafic
-2.7872145,21.00007,Alaskan ultramafic
-2.7581308,20.965807,Alaskan ultramafic
-2.7821362,20.995037,Alaskan ultramafic
-2.7136745,20.923435,Alaskan ultramafic
10.74763,-11.293228,Alaskan ultramafic
10.7278185,-11.285873,Alaskan ultramafic
11.1583605,-11.328975,Alaskan ultramafic
-2.5953383,20.811619,Alaskan ultramafic
10.717573,-11.27663,Alaskan ultramafic
-2.6434524,20.859367,Alaskan ultramafic
-2.7233026,20.931543,Alaskan ultramafic
-2.6107914,20.829634,Alaskan ultramafic
-2.7318833,20.940529,Alaskan ultramafic
10.635114,-11.194544,Alaskan ultramafic
10.659249,-11.244778,Alaskan ultramafic
10.6180935,-11.192578,Alaskan ultramafic
10.751283,-11.295553,Alaskan ultramafic
10.677779,-11.271937,Alaskan ultramafic
10.728075,-11.265717,Alaskan ultramafic
11.066728,-11.323635,Alaskan ultramafic
2.028766,19.395067,Alaskan ultramafic
3.095568,20.129251,Alaskan ultramafic
-2.5732138,20.79304,Alaskan ultramafic
-2.5846035,20.803617,Alaskan ultramafic
5.5275126,13.240405,Alaskan ultramafic
6.1774116,13.0154705,Alaskan ultramafic
6.0722084,12.971077,Alaskan ultramafic
6.161828,12.998135,Alaskan ultramafic
5.7079697,12.919328,Alaskan ultramafic
6.185486,12.983323,Alaskan ultramafic
6.215545,12.984983,Alaskan ultramafic
6.186763,12.98767,Alaskan ultramafic
6.226684,13.00128,Alaskan ultramafic
6.1923833,12.985911,Alaskan ultramafic
6.1844363,12.968413,Alaskan ultramafic
6.208581,12.970534,Alaskan ultramafic
6.2188807,12.967808,Alaskan ultramafic
6.2870708,12.958447,Alaskan ultramafic
6.2466536,12.971891,Alaskan ultramafic
5.6989446,13.070704,Alaskan ultramafic
6.184715,12.983883,Alaskan ultramafic
5.779222,13.016878,Alaskan ultramafic
6.212479,12.987715,Alaskan ultramafic
5.6112685,13.153037,Alaskan ultramafic
5.6773043,13.028783,Alaskan ultramafic
6.080631,12.955156,Alaskan ultramafic
5.939586,13.003095,Alaskan ultramafic
5.8592405,12.752472,Alaskan ultramafic
5.850105,12.7077055,Alaskan ultramafic
5.8453403,12.631607,Alaskan ultramafic
5.808271,12.660442,Alaskan ultramafic
5.8125863,12.700153,Alaskan ultramafic
5.802884,12.82302,Alaskan ultramafic
5.8172975,12.747758,Alaskan ultramafic
5.7999887,12.714899,Alaskan ultramafic
5.8318095,12.678302,Alaskan ultramafic
5.8106155,12.786389,Alaskan ultramafic
5.76806,12.608898,Alaskan ultramafic
5.8286624,12.686098,Alaskan ultramafic
5.83425,12.745615,Alaskan ultramafic
5.7849684,12.704133,Alaskan ultramafic
5.808046,12.653359,Alaskan ultramafic
5.7804484,12.650888,Alaskan ultramafic
5.76984,12.858724,Alaskan ultramafic
5.7822413,12.799424,Alaskan ultramafic
5.8362136,12.668334,Alaskan ultramafic
5.8417506,12.763442,Alaskan ultramafic
5.780668,12.683971,Alaskan ultramafic
5.827775,12.697634,Alaskan ultramafic
5.7176547,12.518058,Alaskan ultramafic
5.7385316,12.563045,Alaskan ultramafic
5.7879086,12.560539,Alaskan ultramafic
5.7863235,12.604063,Alaskan ultramafic
5.772155,12.589981,Alaskan ultramafic
5.7803664,12.606666,Alaskan ultramafic
5.7405095,12.607937,Alaskan ultramafic
5.734129,12.990514,Alaskan ultramafic
5.7480083,12.920464,Alaskan ultramafic
5.6818943,12.978057,Alaskan ultramafic
5.7976303,12.7258,Alaskan ultramafic
5.751182,12.942256,Alaskan ultramafic
